trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
1000090,20,2,"CUMBERLAND TRANSFER CENTER",,0,1468409,shp-20-03,0,0
100070,RAPID,3,"MARTA ARTS CENTER STATION with limited stops",,0,1323907,shp-Rapid-01,0,0
1002070,RAPID,3,"MARTA ARTS CENTER STATION with limited stops",,0,1322307,shp-Rapid-01,0,0
1006070,RAPID,3,"KSU-KENNESAW CAMPUS with limited stops",,1,1323007,shp-Rapid-52,0,0
101090,15,2,"CUMBERLAND TRANSFER CENTER",,0,1468109,shp-15-01,0,0
1016090,10,2,"MARTA ARTS CENTER STATION",,0,1466809,shp-10-03,0,0
1018090,RAPID,2,"KSU-KENNESAW CAMPUS with limited stops",,1,1471309,shp-Rapid-52,0,0
1027010,20,4,"CUMBERLAND TRANSFER CENTER",,0,1311201,shp-20-03,0,0
1028020,30,1,"MARIETTA TRANSFER CENTER",,1,1452802,shp-30-51,0,0
1029070,15,3,"CUMBERLAND TRANSFER CENTER",,0,1324407,shp-15-01,0,0
1030020,10,1,"MARIETTA TRANSFER CENTER",,1,1453202,shp-10-52,0,0
1030090,10,2,"MARIETTA TRANSFER CENTER",,1,1467109,shp-10-52,0,0
1036020,40,1,"MARIETTA TRANSFER CENTER",,1,1457902,shp-40-51,0,0
1037010,15,4,"CUMBERLAND TRANSFER CENTER",,0,1311101,shp-15-01,0,0
1039010,10,4,"MARIETTA TRANSFER CENTER",,1,1311301,shp-10-52,0,0
1040020,10,1,"MARTA ARTS CENTER STATION",,0,1453202,shp-10-03,0,0
1044090,30,2,"MARIETTA TRANSFER CENTER",,1,1469309,shp-30-52,0,0
1045070,25,3,"CUMBERLAND TRANSFER CENTER",,1,1325007,shp-25-01,0,0
1046090,20,2,"CUMBERLAND TRANSFER CENTER",,0,1467509,shp-20-03,0,0
105010,30,4,"MARTA HOLMES STATION",,0,1310401,shp-30-01,0,0
1051020,30,1,"MARTA HOLMES STATION",,0,1453402,shp-30-01,0,0
1051090,30,2,"MARTA HOLMES STATION",,0,1467309,shp-30-01,0,0
1052090,15,2,"MARIETTA TRANSFER CENTER",,1,1469009,shp-15-51,0,0
1055090,15,2,"MARIETTA TRANSFER CENTER",,1,1469209,shp-15-51,0,0
1062020,50,1,"MARIETTA TRANSFER CENTER",,1,1454602,shp-50-51,0,0
1062090,50,2,"MARIETTA TRANSFER CENTER",,1,1468509,shp-50-51,0,0
1065090,10,2,"MARIETTA TRANSFER CENTER",,1,1467609,shp-10-52,0,0
1071020,50,1,"MARIETTA TRANSFER CENTER",,1,1455002,shp-50-51,0,0
1071090,50,2,"MARIETTA TRANSFER CENTER",,1,1468909,shp-50-51,0,0
1073020,RAPID,1,"MARTA ARTS CENTER STATION with limited stops",,0,1458102,shp-Rapid-01,0,0
1074070,20,3,"CUMBERLAND TRANSFER CENTER",,0,1322707,shp-20-03,0,0
1075020,RAPID,1,"KSU-KENNESAW CAMPUS with limited stops",,1,1458002,shp-Rapid-52,0,0
1077020,45,1,"MARIETTA TRANSFER CENTER",,1,1457602,shp-45-51,0,0
1077090,45,2,"MARIETTA TRANSFER CENTER",,1,1470709,shp-45-51,0,0
1001020,50,1,"MARIETTA TRANSFER CENTER",,1,1455002,shp-50-51,0,0
1003070,40,3,"MARIETTA TRANSFER CENTER",,1,1322007,shp-40-51,0,0
1008070,RAPID,3,"KSU-KENNESAW CAMPUS with limited stops",,1,1323907,shp-Rapid-52,0,0
1010,30,4,"MARIETTA TRANSFER CENTER",,1,1310801,shp-30-52,0,0
1010070,20,3,"MARIETTA TRANSFER CENTER",,1,1323607,shp-20-54,0,0
1017090,RAPID,2,"MARTA ARTS CENTER STATION with limited stops",,0,1474209,shp-Rapid-01,0,0
1019070,BLUE,3,"BATTERY/CUMBERLAND TRANSFER CENT/WILDWOOD",,1,1393107,shp-Blue-01,0,0
102010,25,4,"CUMBERLAND TRANSFER CENTER",,1,1310601,shp-25-01,0,0
1022010,30,4,"MARIETTA TRANSFER CENTER",,1,1310401,shp-30-52,0,0
1024020,50,1,"CUMBERLAND TRANSFER CENTER",,0,1454402,shp-50-01,0,0
1024090,50,2,"CUMBERLAND TRANSFER CENTER",,0,1468309,shp-50-01,0,0
1025090,40,2,"KSU-KENNESAW CAMPUS",,0,1471009,shp-40-01,0,0
103090,30,2,"MARIETTA TRANSFER CENTER",,1,1467309,shp-30-52,0,0
1031020,20,1,"CUMBERLAND TRANSFER CENTER",,0,1453602,shp-20-03,0,0
1031090,20,2,"CUMBERLAND TRANSFER CENTER",,0,1467509,shp-20-03,0,0
1035090,30,2,"MARTA HOLMES STATION",,0,1469609,shp-30-01,0,0
1038010,15,4,"CUMBERLAND TRANSFER CENTER",,0,1311101,shp-15-01,0,0
1041090,30,2,"MARTA HOLMES STATION",,0,1467409,shp-30-01,0,0
1042070,50,3,"CUMBERLAND TRANSFER CENTER",,0,1322607,shp-50-01,0,0
1043090,40,2,"KSU-KENNESAW CAMPUS",,0,1470809,shp-40-01,0,0
1046020,20,1,"CUMBERLAND TRANSFER CENTER",,0,1453602,shp-20-03,0,0
1052020,15,1,"MARIETTA TRANSFER CENTER",,1,1455102,shp-15-51,0,0
1053070,20,3,"MARIETTA TRANSFER CENTER",,1,1323607,shp-20-54,0,0
1056090,15,2,"CUMBERLAND TRANSFER CENTER",,0,1467709,shp-15-01,0,0
106010,20,4,"MARIETTA TRANSFER CENTER",,1,1311901,shp-20-54,0,0
1064020,10,1,"MARTA ARTS CENTER STATION",,0,1453802,shp-10-03,0,0
1066010,25,4,"CUMBERLAND TRANSFER CENTER",,1,1311501,shp-25-01,0,0
1068010,25,4,"CUMBERLAND TRANSFER CENTER",,1,1310301,shp-25-01,0,0
1070020,30,1,"MARIETTA TRANSFER CENTER",,1,1454702,shp-30-52,0,0
1073090,RAPID,2,"MARTA ARTS CENTER STATION with limited stops",,0,1471209,shp-Rapid-01,0,0
