trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
1020,16:25:00,16:25:00,327,1,,0,0,0.00,0
1020,16:25:00,16:25:00,CIVS,2,,1,1,,1
1020,16:27:00,16:27:00,337,3,,0,0,422.80,0
1020,16:29:16,16:29:16,324,4,,0,0,887.68,0
1020,16:30:44,16:30:44,338,5,,0,0,1181.80,0
1020,16:32:00,16:32:00,191,6,,0,0,1479.99,0
1020,16:32:00,16:32:00,AUCO,7,,1,1,,1
1020,16:34:03,16:34:03,231,8,,0,0,1859.10,0
1020,16:36:34,16:36:34,232,9,,0,0,2312.57,0
1020,16:38:42,16:38:42,187,10,,0,0,2721.19,0
1020,16:40:00,16:40:00,323,11,,0,0,2995.95,0
1020,16:40:00,16:40:00,FEDE,12,,1,1,,1
1020,16:40:50,16:40:50,189,13,,0,0,3599.53,0
1020,17:08:00,17:08:00,210,14,,0,0,28120.37,0
1020,17:08:00,17:08:00,PANO,15,,1,1,,1
1020,17:19:00,17:19:00,219,16,,0,0,40451.48,0
1020,17:19:00,17:19:00,WCON,17,,1,1,,1
1020,17:33:00,17:33:00,201,18,,0,0,50281.78,0
1020,17:33:00,17:33:00,ECON,19,,1,1,,1
2020,15:00:00,15:00:00,327,1,,0,0,0.00,0
2020,15:00:00,15:00:00,CIVS,2,,1,1,,1
2020,15:01:42,15:01:42,337,3,,0,0,422.80,0
2020,15:03:39,15:03:39,324,4,,0,0,887.68,0
2020,15:04:54,15:04:54,338,5,,0,0,1181.80,0
2020,15:06:00,15:06:00,191,6,,0,0,1479.99,0
2020,15:06:00,15:06:00,AUCO,7,,1,1,,1
2020,15:07:12,15:07:12,231,8,,0,0,1859.10,0
2020,15:08:41,15:08:41,232,9,,0,0,2312.57,0
2020,15:10:00,15:10:00,226,10,,0,0,2730.02,0
2020,15:10:00,15:10:00,MIPR,11,,1,1,,1
2020,15:10:19,15:10:19,184,12,,0,0,3068.15,0
2020,15:38:00,15:38:00,196,13,,0,0,33708.07,0
2020,15:38:00,15:38:00,BRAN,14,,1,1,,1
2020,15:46:00,15:46:00,214,15,,0,0,35407.44,0
2020,15:46:00,15:46:00,STOC,16,,1,1,,1
3020,17:15:00,17:15:00,327,1,,0,0,0.00,0
3020,17:15:00,17:15:00,CIVS,2,,1,1,,1
3020,17:17:00,17:17:00,337,3,,0,0,422.80,0
3020,17:19:16,17:19:16,324,4,,0,0,887.68,0
3020,17:20:44,17:20:44,338,5,,0,0,1181.80,0
3020,17:22:00,17:22:00,191,6,,0,0,1479.99,0
3020,17:22:00,17:22:00,AUCO,7,,1,1,,1
3020,17:24:18,17:24:18,231,8,,0,0,1859.10,0
3020,17:27:08,17:27:08,232,9,,0,0,2312.57,0
3020,17:29:32,17:29:32,187,10,,0,0,2721.19,0
3020,17:31:00,17:31:00,323,11,,0,0,2995.95,0
3020,17:31:00,17:31:00,FEDE,12,,1,1,,1
3020,17:31:50,17:31:50,189,13,,0,0,3599.53,0
3020,17:59:00,17:59:00,210,14,,0,0,28120.37,0
3020,17:59:00,17:59:00,PANO,15,,1,1,,1
3020,18:10:00,18:10:00,219,16,,0,0,40451.48,0
3020,18:10:00,18:10:00,WCON,17,,1,1,,1
3020,18:24:00,18:24:00,201,18,,0,0,50281.78,0
3020,18:24:00,18:24:00,ECON,19,,1,1,,1
4020,16:05:00,16:05:00,326,1,,0,0,0.00,0
4020,16:05:00,16:05:00,CIVI,2,,1,1,,1
4020,16:07:37,16:07:37,330,3,,0,0,640.36,0
4020,16:09:01,16:09:01,329,4,,0,0,1097.93,0
4020,16:11:01,16:11:01,328,5,,0,0,1622.77,0
4020,16:12:44,16:12:44,238,6,,0,0,2049.36,0
4020,16:13:54,16:13:54,331,7,,0,0,2363.00,0
4020,16:15:00,16:15:00,239,8,,0,0,2634.65,0
4020,16:15:00,16:15:00,ARTS,9,,1,1,,1
4020,16:16:22,16:16:22,340,10,,0,0,3056.06,0
4020,16:19:00,16:19:00,341,11,,0,0,3616.84,0
4020,16:19:00,16:19:00,ATLA,12,,1,1,,1
4020,16:51:00,16:51:00,217,13,,0,0,37145.73,0
4020,16:51:00,16:51:00,TCBS,14,,1,1,,1
4020,17:28:00,17:28:00,221,15,,0,0,48191.47,0
4020,17:28:00,17:28:00,WOOD,16,,1,1,,1
5020,15:15:00,15:15:00,327,1,,0,0,0.00,0
5020,15:15:00,15:15:00,CIVS,2,,1,1,,1
5020,15:16:42,15:16:42,337,3,,0,0,422.80,0
5020,15:18:39,15:18:39,324,4,,0,0,887.68,0
5020,15:19:54,15:19:54,338,5,,0,0,1181.80,0
5020,15:21:00,15:21:00,191,6,,0,0,1479.99,0
5020,15:21:00,15:21:00,AUCO,7,,1,1,,1
5020,15:23:03,15:23:03,231,8,,0,0,1859.10,0
5020,15:25:34,15:25:34,232,9,,0,0,2312.57,0
5020,15:27:42,15:27:42,187,10,,0,0,2721.19,0
5020,15:29:00,15:29:00,323,11,,0,0,2995.95,0
5020,15:29:00,15:29:00,FEDE,12,,1,1,,1
