trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
130020,476,1,"476 HIRAM/ POWDER SPRINGS",,0,1251902,shp-476-52,0,0
22020,440,1,"440 HAMPTON/JONESBORO",,0,1288602,shp-440-51,1,1
154020,411,1,"411 MIDTOWN",,1,1245702,shp-411-03,2,2
37020,426,1,"426 PANOLA RD / WEST CONYERS / EAST CONYERS",,0,1292402,shp-426-52,2,2
65020,484,1,"484 MIDTOWN",,1,1290102,shp-484-01,0,0
170020,411,1,"411 HAMILTON MILL/MALL OF GA",,0,1247102,shp-411-53,2,2
55020,480,1,"480 DOWNTOWN",,1,1251202,shp-480-03,0,0
143020,423,1,"423 PANOLA RD / WEST CONYERS / EAST CONYERS",,0,1288002,shp-423-53,1,1
182020,431,1,"431 STOCKBRIDGE / BRANDSMART",,0,1286602,shp-431-52,0,0
51020,440,1,"440 DOWNTOWN/MIDTOWN",,1,1288302,shp-440-05,1,1
44020,441,1,"441 JONESBORO",,0,1288802,shp-441-52,0,0
87020,463,1,"463 DOWNTOWN/MIDTOWN",,1,1288902,shp-463-02,2,2
162020,485,1,"485 HICKORY GROVE",,0,1287202,shp-485-51,0,0
38020,490,1,"490 DOWNTOWN",,1,1286702,shp-490-01,1,1
5020,426,1,"426 PANOLA RD / WEST CONYERS / EAST CONYERS",,0,1290402,shp-426-52,2,2
194020,463,1,"463 WEST DOUGLAS /DOUGLAS MMTC",,0,1285802,shp-463-51,0,0
196020,419,1,"419 SNELLVILLE /HEWATT RD STONE MOUNTAIN",,0,1247302,shp-419-52,1,1
83020,463,1,"463 WEST DOUGLAS /DOUGLAS MMTC",,0,1293002,shp-463-51,0,0
84020,476,1,"476 DOWNTOWN / MIDTOWN",,1,1251402,shp-476-03,0,0
92020,441,1,"441 DOWNTOWN/MIDTOWN",,1,1288702,shp-441-04,2,2
172020,485,1,"485 DOWNTOWN",,1,1288502,shp-485-01,0,0
166020,411,1,"411 MIDTOWN",,1,1249502,shp-411-03,2,2
159020,430,1,"430 MCDONOUGH",,0,1294402,shp-430-52,0,0
179020,416,1,"416 DOWNTOWN",,1,1246102,shp-416-01,0,0
109020,430,1,"430 DOWNTOWN",,1,1289902,shp-430-02,0,0
18020,440,1,"440 DOWNTOWN/MIDTOWN",,1,1293102,shp-440-05,1,1
54020,412,1,"412 SUGARLOAF MILLS",,0,1246502,shp-412-53,2,2
189020,476,1,"476 HIRAM/ POWDER SPRINGS",,0,1252102,shp-476-52,0,0
47020,426,1,"426 DOWNTOWN",,1,1287102,shp-426-07,2,2
28020,442,1,"442 RIVERDALE",,0,1290802,shp-442-51,0,0
181020,453,1,"453 NEWNAN/UNION CITY",,0,1291802,shp-453-52,1,1
24020,480,1,"480 ACWORTH / TOWN CENTER",,0,1251302,shp-480-52,0,0
197020,413,1,"413 DOWNTOWN",,1,1246702,shp-413-03,2,2
74020,440,1,"440 DOWNTOWN/MIDTOWN",,1,1285502,shp-440-05,1,1
17020,401,1,"401 Perimeter Center",,1,1246902,shp-401-02,2,2
36020,483,1,"483 WOODSTOCK/ TOWN CENTER",,0,1287002,shp-483-52,0,0
85020,441,1,"441 DOWNTOWN/MIDTOWN",,1,1294302,shp-441-04,2,2
103020,480,1,"480 ACWORTH / TOWN CENTER",,0,1251302,shp-480-52,0,0
125020,419,1,"419 SNELLVILLE /HEWATT RD STONE MOUNTAIN",,0,1250202,shp-419-52,1,1
57020,419,1,"419 SNELLVILLE /HEWATT RD STONE MOUNTAIN",,0,1247302,shp-419-52,1,1
112020,419,1,"419 DOWNTOWN",,1,1247802,shp-419-02,1,1
88020,485,1,"485 HICKORY GROVE",,0,1292002,shp-485-51,0,0
148020,453,1,"453 NEWNAN/UNION CITY",,0,1291402,shp-453-52,1,1
40020,423,1,"423 MIDTOWN",,1,1286302,shp-423-04,1,1
4020,483,1,"483 WOODSTOCK/ TOWN CENTER",,0,1286002,shp-483-52,0,0
45020,432,1,"432 DOWNTOWN",,1,1292302,shp-432-02,0,0
