shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
1e965134-5fab-4420-899c-242e844f6e65,33.7555000,-84.3766200,1,0.0000000
1e965134-5fab-4420-899c-242e844f6e65,33.7555300,-84.3784100,2,165.8744029
1e965134-5fab-4420-899c-242e844f6e65,33.7555300,-84.3802200,3,333.5683693
1e965134-5fab-4420-899c-242e844f6e65,33.7555600,-84.3820400,4,502.2216218
1e965134-5fab-4420-899c-242e844f6e65,33.7555700,-84.3851200,5,787.5813502
1e965134-5fab-4420-899c-242e844f6e65,33.7556100,-84.3875500,6,1012.7610045
1e965134-5fab-4420-899c-242e844f6e65,33.7556700,-84.3878000,7,1036.8602555
1e965134-5fab-4420-899c-242e844f6e65,33.7558300,-84.3880800,8,1068.2913745
1e965134-5fab-4420-899c-242e844f6e65,33.7562600,-84.3884900,9,1129.2643278
1e965134-5fab-4420-899c-242e844f6e65,33.7571500,-84.3879900,10,1238.3098785
1e965134-5fab-4420-899c-242e844f6e65,33.7576700,-84.3876800,11,1302.7423408
1e965134-5fab-4420-899c-242e844f6e65,33.7578200,-84.3876200,12,1320.2840941
1e965134-5fab-4420-899c-242e844f6e65,33.7584200,-84.3876400,13,1386.8606985
1e965134-5fab-4420-899c-242e844f6e65,33.7584200,-84.3882100,14,1439.6686286
1e965134-5fab-4420-899c-242e844f6e65,33.7584300,-84.3884000,15,1457.3061823
1e965134-5fab-4420-899c-242e844f6e65,33.7583600,-84.3885200,16,1470.8664821
1e965134-5fab-4420-899c-242e844f6e65,33.7589300,-84.3891000,17,1553.8396833
1e965134-5fab-4420-899c-242e844f6e65,33.7595900,-84.3897800,18,1650.4207038
1e965134-5fab-4420-899c-242e844f6e65,33.7597100,-84.3898200,19,1664.2371155
1e965134-5fab-4420-899c-242e844f6e65,33.7597300,-84.3920700,20,1872.6981283
1e965134-5fab-4420-899c-242e844f6e65,33.7594100,-84.3920800,21,1908.2039933
1e965134-5fab-4420-899c-242e844f6e65,33.7594100,-84.3920800,22,1908.2039933
9094281e-3c28-4b1a-884c-590249013139,33.7594200,-84.3920700,1,0.0000000
9094281e-3c28-4b1a-884c-590249013139,33.7592000,-84.3920600,2,24.4195505
9094281e-3c28-4b1a-884c-590249013139,33.7589700,-84.3914100,3,89.8195451
9094281e-3c28-4b1a-884c-590249013139,33.7589000,-84.3912300,4,108.2145366
9094281e-3c28-4b1a-884c-590249013139,33.7585400,-84.3908500,5,161.4484340
9094281e-3c28-4b1a-884c-590249013139,33.7581100,-84.3904000,6,224.7957987
9094281e-3c28-4b1a-884c-590249013139,33.7571100,-84.3893500,7,372.3286693
9094281e-3c28-4b1a-884c-590249013139,33.7563900,-84.3886300,8,476.3837974
9094281e-3c28-4b1a-884c-590249013139,33.7559100,-84.3881700,9,544.5810358
9094281e-3c28-4b1a-884c-590249013139,33.7557800,-84.3880000,10,565.9348703
9094281e-3c28-4b1a-884c-590249013139,33.7557000,-84.3878600,11,581.6504310
9094281e-3c28-4b1a-884c-590249013139,33.7545000,-84.3885400,12,728.9093803
9094281e-3c28-4b1a-884c-590249013139,33.7544800,-84.3870000,13,871.6071916
9094281e-3c28-4b1a-884c-590249013139,33.7544700,-84.3854800,14,1012.4391568
9094281e-3c28-4b1a-884c-590249013139,33.7544000,-84.3798500,15,1534.1151894
9094281e-3c28-4b1a-884c-590249013139,33.7543800,-84.3790500,16,1608.2682402
9094281e-3c28-4b1a-884c-590249013139,33.7543600,-84.3781100,17,1695.3873455
9094281e-3c28-4b1a-884c-590249013139,33.7543700,-84.3772400,18,1776.0003491
9094281e-3c28-4b1a-884c-590249013139,33.7543700,-84.3763600,19,1857.5322153
9094281e-3c28-4b1a-884c-590249013139,33.7543500,-84.3755200,20,1935.3897064
9094281e-3c28-4b1a-884c-590249013139,33.7543400,-84.3743900,21,2040.0899405
9094281e-3c28-4b1a-884c-590249013139,33.7554800,-84.3743800,22,2166.5398170
9094281e-3c28-4b1a-884c-590249013139,33.7554900,-84.3746900,23,2195.2823078
a318d260-2f2e-4206-90f0-dd780c9eac11,33.7554900,-84.3747040,1,0.0000000
a318d260-2f2e-4206-90f0-dd780c9eac11,33.7555000,-84.3766200,2,177.5182554
a318d260-2f2e-4206-90f0-dd780c9eac11,33.7555300,-84.3784100,3,343.3926583
a318d260-2f2e-4206-90f0-dd780c9eac11,33.7555300,-84.3802200,4,511.0866247
a318d260-2f2e-4206-90f0-dd780c9eac11,33.7555600,-84.3820400,5,679.7398772
a318d260-2f2e-4206-90f0-dd780c9eac11,33.7555700,-84.3851200,6,965.0996056
a318d260-2f2e-4206-90f0-dd780c9eac11,33.7556100,-84.3875500,7,1190.2792600
a318d260-2f2e-4206-90f0-dd780c9eac11,33.7556700,-84.3878000,8,1214.3785110
a318d260-2f2e-4206-90f0-dd780c9eac11,33.7558300,-84.3880800,9,1245.8096299
a318d260-2f2e-4206-90f0-dd780c9eac11,33.7562600,-84.3884900,10,1306.7825832
a318d260-2f2e-4206-90f0-dd780c9eac11,33.7571500,-84.3879900,11,1415.8281339
a318d260-2f2e-4206-90f0-dd780c9eac11,33.7576700,-84.3876800,12,1480.2605962
a318d260-2f2e-4206-90f0-dd780c9eac11,33.7578200,-84.3876200,13,1497.8023495
a318d260-2f2e-4206-90f0-dd780c9eac11,33.7584200,-84.3876400,14,1564.3789539
a318d260-2f2e-4206-90f0-dd780c9eac11,33.7584200,-84.3882100,15,1617.1868840
a318d260-2f2e-4206-90f0-dd780c9eac11,33.7584300,-84.3884000,16,1634.8244377
a318d260-2f2e-4206-90f0-dd780c9eac11,33.7583600,-84.3885200,17,1648.3847375
a318d260-2f2e-4206-90f0-dd780c9eac11,33.7589300,-84.3891000,18,1731.3579387
a318d260-2f2e-4206-90f0-dd780c9eac11,33.7595900,-84.3897800,19,1827.9389592
a318d260-2f2e-4206-90f0-dd780c9eac11,33.7597100,-84.3898200,20,1841.7553709
a318d260-2f2e-4206-90f0-dd780c9eac11,33.7597300,-84.3920700,21,2050.2163837
a318d260-2f2e-4206-90f0-dd780c9eac11,33.7594100,-84.3920800,22,2085.7222487
